obs	Country	Arrivals	Share	Gdp	Gdppc	Gkf	Cpi	Fdi	Exrate	ld_Arrivals	ld_Share	ld_Gdp	ld_Gdppc	ld_Gkf	ld_Cpi	ld_Fdi	ld_Exrate
"1994"	2	10713	2.06098499422855	162822721848.395	15428.9947724417	28800681148.7728	52.3218540372532	981000000	85.1673763948033	0.129366244715339	0.0818930275344764	0.019802627303676	0.0114759395469246	-0.00645578746308573	0.103664162409645	0.00408580752257848	0.0113954057823351
"1995"	2	10130	1.91132075471698	166241542736.514	15632.4547904288	30373711244.8156	56.9978880120709	1053000000	88.0090667422228	-0.0559566390198292	-0.0753895233586067	0.0207797945612818	0.0131006717837288	0.0531784347451172	0.0856000717153553	0.0708260525686129	0.0328213859887789
"1996"	2	9233	1.64288256227758	170162186674.837	15889.386292932	32955245668.3613	61.6695600148969	1058000000	91.8715989299911	-0.0927172954701021	-0.151342138817625	0.0233102140235992	0.0163021691525049	0.0815729765317492	0.0787762397417522	0.00473710028427021	0.0429520980662401
"1997"	2	10070	1.71258503401361	176352020287.808	16364.4926302452	35157083589.1443	65.0854202813889	984000000	91.5182626521887	0.0867766839399806	0.0415515859350442	0.0357300912345764	0.0294625465434262	0.0646756733996554	0.0539101108507376	-0.0725097153659924	-0.00385339420584874
"1998"	2	10916	1.80728476821192	182283944166.904	16823.8083086203	38728829544.814	68.1875382365004	NA	88.789073242277	0.0806688961156219	0.0538216460794331	0.0330834913767752	0.0276811402846686	0.0967581496391965	0.0465612590276354	NA	-0.0302749508393667
"1999"	2	12164	1.94003189792663	188516946076.755	17322.8173904308	42316674350.944	69.9854954679807	567300000	88.5715714297619	0.108251166969026	0.0708788242709206	0.0336222983396226	0.0292295123781123	0.08859692889542	0.0260261886302136	NA	-0.00245265145431883
"2000"	2	13096	1.93441654357459	196957614571.307	18040.5714954517	46557116751.418	72.2012940073461	1083400000	82.5281877348978	0.0738260702537143	-0.00289866202563882	0.043800648669805	0.0405986366919961	0.095498674991255	0.0311699552989717	0.646971258891277	-0.0706710374003787
"2001"	2	14057	2.07943786982249	205224269626.438	18738.9236680445	48384922703.0641	74.6373414145671	1584999999.99999	83.5431961933016	0.0708136522807958	0.0722918491501059	0.0411148282076574	0.0379796466764031	0.0385083747287247	0.0331829688512348	0.380480163087576	0.0122239132745623
"2002"	2	14180	2.03735632183908	212282768281.439	19327.0322168029	48995481149.6861	77.3462014203315	53061484.4046494	86.1107175893132	0.00871202875435273	-0.0204445555371028	0.0338158192461755	0.030901908776503	0.0125398216305967	0.0356505297035143	-3.39688836202911	0.0302700643027558
"2003"	2	13969	2.02449275362319	224900411252.113	20411.4901006825	58059584226.8189	80.0770256932791	1331693343.16592	91.6499304160868	-0.0149919323585674	-0.00633386961545324	0.0577384889810695	0.0545932335851003	0.169741725052759	0.0346975257925335	3.22275527746431	0.0623423329740191
"2004"	2	13313	1.74711286089239	234723171409.685	21230.9085551649	56680527713.2388	82.3983369264	2104990942.15376	93.3949449578746	-0.0480995872956349	-0.147354545390975	0.0427491381990386	0.0393600880955738	-0.0240390723007273	0.0285762611548321	0.457859841345805	0.0188610062132772
"2005"	2	14765	1.82961586121437	240075690352.186	21642.2584718898	51387522863.503	85.319418161659	689960219.877322	93.6941141176176	0.103518513746106	0.0461414011628033	0.0225474243262127	0.0191897435316601	-0.0980353280276915	0.0348368203165856	-1.11543249951475	0.00319814976051713
"2006"	2	16039	1.88030480656506	253297904331.443	22762.3212378207	62232421776.6005	88.0461806683022	5409239580.64895	94.4649538746156	0.082763741159356	0.0273278619376246	0.0536120334201797	0.050458777513013	0.191480717221648	0.0314593830544903	2.05922986027812	0.00819353622106878
"2007"	2	16165	1.77832783278328	262254970178.58	23493.2297045705	70279030164.6521	90.5951184965579	1957669988.65975	95.999133326111	0.00782515482215551	-0.0557603918636441	0.0347509156511343	0.0316056903044437	0.121597349262384	0.0285388747176425	-1.01635354008822	0.0161102563290632
"2008"	2	15939	1.71941747572816	261690835688.703	23393.578214542	63002859892.8021	94.357349279092	5733408743.96952	98.7516562638022	-0.0140794750404805	-0.033687946428857	-0.00215340862187929	-0.00425073254073283	-0.109293343146316	0.040688830702627	1.07455526329733	0.0282690123581713
"2009"	2	14915	1.67396184062851	253482546934.537	22658.4983429139	47234349557.28	95.4991429829939	2762586782.18351	100.147501229177	-0.0664015181702045	-0.0267923800751582	-0.0318688182615539	-0.0319265650876837	-0.288058747713794	0.0120281108753	-0.730142767367212	0.014035935585512
"2010"	2	15007	1.5813487881981	240951131470.427	21603.2747766232	43315521780.3313	100	533530144.307117	99.9999999999998	0.00614934094713959	-0.056915030191978	-0.0507008333290067	-0.0476900711084056	-0.0866103313206743	0.0460529125417377	-1.6444071876334	-0.00147392552966874
"2011"	2	16427	1.65095477386935	223829580516.59	20122.7451561513	36201520710.8392	103.329870179917	1091980638.44175	100.678338986158	0.0904095636452116	0.0430756250965454	-0.073709177913944	-0.0709941381302404	-0.179409914914473	0.0327563078734707	0.716232853718704	0.006760486190589
